0.000000000000000000e+00,0.000000000000000000e+00,-2.842170943040400743e-14,-1.136868377216160361e-14
1.000000000000000021e-03,3.598920016812499114e-09,1.079568028009894983e-05,2.158704148110208651e-02
2.000000000000000042e-03,2.878272237875177939e-08,4.316544638988124009e-05,4.314817333051186588e-02
3.000000000000000062e-03,9.711253979922759827e-08,9.708339385322140426e-05,6.468340591621785096e-02
4.000000000000000083e-03,2.301236057279459643e-07,1.725236285904156145e-04,8.619274960621992054e-02
5.000000000000000104e-03,4.493252647189089303e-07,2.694602668897599245e-04,1.076762147685179499e-01
6.000000000000000125e-03,7.762009827984143587e-07,3.878674354075501481e-04,1.291338117711118283e-01
7.000000000000000146e-03,1.232208357833056443e-06,5.277192711680821907e-04,1.505655509820014448e-01
8.000000000000000167e-03,1.838779129897724556e-06,6.889899215636515481e-04,1.719714427691866887e-01
9.000000000000001055e-03,2.617319191643605032e-06,8.716535443545540655e-04,1.933514975006673797e-01
1.000000000000000021e-02,3.589208598666177370e-06,1.075684307669085450e-03,2.147057255444435320e-01
1.099999999999999936e-02,4.775801579873213875e-06,1.301056390003539100e-03,2.360341372685147987e-01
1.200000000000000025e-02,6.198426547852793273e-06,1.547743980222212939e-03,2.573367430408813328e-01
1.300000000000000114e-02,7.878386109241280869e-06,1.815721277557400632e-03,2.786135532295428985e-01
1.400000000000000029e-02,9.836957075091334125e-06,2.104962491609397007e-03,2.998645782024992879e-01
1.499999999999999944e-02,1.209539047123990610e-05,2.415441842346497184e-03,3.210898283277504039e-01
1.600000000000000033e-02,1.467491154867625825e-05,2.747133560104996364e-03,3.422893139732962609e-01
1.700000000000000122e-02,1.759671979390993332e-05,3.100011885589188092e-03,3.634630455071367061e-01
1.800000000000000211e-02,2.088198893933877076e-05,3.474051069871368375e-03,3.846110332972714763e-01
1.899999999999999953e-02,2.455186697361690668e-05,3.869225374391830046e-03,4.057332877117006409e-01
2.000000000000000042e-02,2.862747615202275027e-05,4.285509070958867101e-03,4.268298191184239365e-01
2.100000000000000130e-02,3.312991300682705670e-05,4.722876441748776431e-03,4.479006378854413217e-01
2.199999999999999872e-02,3.808024835766082720e-05,5.181301779305848287e-03,4.689457543807526996e-01
2.299999999999999961e-02,4.349952732188335489e-05,5.660759386542377550e-03,4.899651789723578066e-01
2.400000000000000050e-02,4.940876932495029433e-05,6.161223576738660695e-03,5.109589220282567679e-01
2.500000000000000139e-02,5.582896811078150395e-05,6.682668673542989726e-03,5.319269939164492644e-01
2.600000000000000228e-02,6.278109175212921733e-05,7.225069010971658240e-03,5.528694050049351993e-01
2.699999999999999969e-02,7.028608266094583479e-05,7.788398933408959696e-03,5.737861656617145867e-01
2.800000000000000058e-02,7.836485759875220982e-05,8.372632795607183945e-03,5.946772862547871075e-01
2.900000000000000147e-02,8.703830768700540686e-05,8.977744962686629374e-03,6.155427771521527758e-01
2.999999999999999889e-02,9.632729841746679117e-05,9.603709810135587291e-03,6.363826487218114947e-01
3.099999999999999978e-02,1.062526696625699696e-04,1.025050172381035060e-02,6.571969113317630562e-01
3.200000000000000067e-02,1.168352356857889753e-04,1.091809509993520860e-02,6.779855753500073634e-01
3.300000000000000155e-02,1.280957851520060187e-04,1.160646434510246260e-02,6.987486511445443194e-01
3.400000000000000244e-02,1.400550811378796316e-04,1.231558387627239813e-02,7.194861490833739381e-01
3.500000000000000333e-02,1.527338611422126354e-04,1.304542812077330929e-02,7.401980795344957897e-01
3.600000000000000422e-02,1.661528370963201353e-04,1.379597151630148830e-02,7.608844528659099993e-01
3.699999999999999817e-02,1.803326953743975838e-04,1.456718851092122895e-02,7.815452794456164698e-01
3.799999999999999906e-02,1.952940968038885991e-04,1.535905356306481451e-02,8.021805696416147713e-01
3.899999999999999994e-02,2.110576766758533260e-04,1.617154114153255065e-02,8.227903338219051399e-01
4.000000000000000083e-02,2.276440447553360112e-04,1.700462572549272383e-02,8.433745823544873677e-01
